"id","question","answer_a","answer_b","answer_c","correct","media","points","category"
"7114","Co może spowodować uszkodzona przetwornica wirująca?","Brak możliwości przestawienia nastawiacza.","Brak możliwości przestawienia nawrotnika.","Brak chłodzenia aparatury elektrycznej.","C","8C311.jpg","1","PT"
"7115","W jakiej sytuacji zaleca się stosowanie piasecznic znajdujących się na wyposażeniu tramwaju?","Zawsze przy hamowaniu.","Tylko na nawierzchni pokrytej wodą.","Przy nagłym hamowaniu awaryjnym.","C","8C312.jpg","1","PT"
"7116","Co powinieneś zrobić kierując tramwajem wyposażonym w piasecznice w przypadku braku piasku w zbiornikach?","Zatrzymać tramwaj i czekać na obsługę techniczną.","Napełnić piasecznice żwirem.","Uzupełnić piasecznice specjalnym piaskiem na najbliższym krańcu.","C","8C313.jpg","1","PT"
"7117","O czym należy pamiętać przed rozpoczęciem holowania  składu tramwajów, uszkodzonego w wyniku kolizji?","O umieszczeniu trójkąta ostrzegawczego z tyłu drugiego wagonu.","O umieszczeniu żółtego sygnału błyskowego.","O połączeniu w sposób wykluczający odczepienie się w czasie jazdy.","C","8D101.jpg","1","PT"
"7118","O czym należy pamiętać przed rozpoczęciem spychania składu tramwajów, uszkodzonego w wyniku kolizji ?","O włączeniu świateł awaryjnych w pierwszym składzie.","O zwolnieniu luzowników w uszkodzonym wagonie.","O usadowieniu pasażerów na miejscach siedzących.","B","8D102.jpg","1","PT"
"7119","O czym należy pamiętać podczas spychania uszkodzonego w wyniku kolizji składu tramwajów?","O wydłużeniu drogi hamowania.","O umieszczeniu ostrzegawczego trójkąta odblaskowego z tyłu drugiego wagonu.","O usadowieniu pasażerów na miejscach siedzących.","A","8D103.jpg","1","PT"
"7120","Co powinieneś zrobić w przypadku agresywnego zachowania pasażera wobec Ciebie lub innych pasażerów, gdy sytuacja utrudnia kierowanie pojazdem?","Kontynuować jazdę do najbliższego komisariatu policji.","Zatrzymać pojazd i wezwać odpowiednie służby.","Nie podejmować żadnych działań.","B","8D150.jpg","1","PT"
"7121","O co należy zadbać, w pierwszej kolejności, w przypadku pożaru tramwaju podczas jazdy?","O bezpieczeństwo pasażerów i własne.","O zminimalizowanie uszkodzeń pojazdu.","O jazdę zgodną z rozkładem jazdy.","A","8D151.jpg","1","PT"
"7122","W jaki sposób zorganizować ewakuację pasażerów, jeżeli w wyniku wypadku drogowego nastąpiła blokada drzwi?","Wezwać pomoc drogową.","Skorzystać z wyjść awaryjnych.","Wezwać Straż Pożarną.","B","8D152.jpg","1","PT"
"7123","Jak należy się zachować w przypadku pożaru wewnątrz tramwaju, podczas jazdy?","Dojechać do najbliższego przystanku i rozpocząć ewakuację pasażerów.","Zatrzymać pojazd, uruchomić gaśnicę i próbować samodzielnie ugasić ogień.","Zatrzymać pojazd, opuścić pantograf, otworzyć drzwi i rozpocząć ewakuację pasażerów.","C","8D153.jpg","1","PT"
"7168","Kiedy należy przeprowadzać okresowe badanie techniczne pojazdu samochodowego?","Zawsze co 3 lata.","Zawsze co 2 lata.","Przed upływem terminu podanego w dowodzie rejestracyjnym pojazdu.","C","2C250.jpg","1","B1"
"7169","Jaka maksymalna liczba motocykli ma prawo jechać w zorganizowanej kolumnie?","10","15","20","A","3A108.jpg","1","A,A1,A2"
"7170","Której z tych czynności nie masz prawa wykonywać, gdy kierujesz motocyklem?","Przewozić dziecka w wieku do 7 lat.","Korzystać podczas jazdy z telefonu komórkowego wymagającego trzymania go w ręku.","Korzystać ze wskazań nawigacji GPS.","B","3C105.jpg","1","A,A1,A2"
"7171","Czy masz prawo kierować holowanym motocyklem, jeśli nie posiadasz prawa jazdy uprawniającego do kierowania nim?","Nie.","Tak, jeśli motocykl jest holowany na połączeniu sztywnym.","Tak, niezależnie od rodzaju połączenia.","A","3C116.jpg","1","A,A1,A2"
"7173","Co powinieneś zrobić przed sprawdzeniem poziomu oleju w silniku?","Ustawić motocykl na bocznej podpórce.","Uruchomić silnik.","Wyłączyć silnik i odczekać kilka minut.","C","3C304.jpg","1","A,A1,A2"
"7176","Którym z wymienionych pojazdów masz prawo wjechać na tak oznakowaną drogę?","Czterokołowcem lekkim, niezależnie od celu jazdy.","Motorowerem, przejeżdżając do najbliższego zjazdu.","Ciągnikiem rolniczym, który wykonuje prace porządkowe na tej drodze.","C","4A111.jpg","1","T"
"7177","Czy ciągnik rolniczy powinien być wyposażony w gaśnicę?","Tak.","Nie.","Tylko, jeżeli ciągnie przyczepę.","A","4A215.jpg","1","T"
"7178","Jaki odstęp powinieneś zachować jadąc za innym pojazdem?","Uzależniony wyłącznie od twoich umiejętności i doświadczenia.","Niezbędny do uniknięcia zderzenia w razie hamowania lub zatrzymania się poprzedzającego pojazdu.","Wynoszący co najmniej dwie długości twojego pojazdu niezależnie od prędkości i warunków panujących na drodze.","B","4B170.jpg","1","T"
"7179","Jak, w przybliżeniu, wzrasta długość drogi hamowania pojazdu przy dwukrotnie większej prędkości?","Czterokrotnie.","Trzykrotnie.","Dwukrotnie.","A","4B171.jpg","1","T"
"7180","Na co, przede wszystkim, powinieneś zwrócić uwagę podczas wymijania innego pojazdu?","Na prawidłowe ułożenie rąk na kierownicy.","Na pojazdy jadące za Tobą.","Na zachowanie bezpiecznego odstępu.","C","4B172.jpg","1","T"
"7181","Od czego, w szczególności, zależy bezpieczny odstęp, który powinieneś zachować jadąc za innym pojazdem?","Od prędkości, z jaką jedziesz.","Od mocy silnika w pojeździe.","Od szerokości jezdni.","A","4B173.jpg","1","T"
"7182","Czego możesz się spodziewać, podczas gwałtownego hamowania, w takich warunkach drogowych?","Zwiększonej przyczepności kół do jezdni.","Zwiększonej siły tarcia.","Zmniejszonej przyczepności kół do jezdni.","C","4B174.jpg","1","T"
"7183","Od czego powinna być uzależniona odległość ciągnika rolniczego, od pojazdu poprzedzającego?","Od panujących warunków i możliwego czasu reakcji kierującego.","Tylko od panujących warunków atmosferycznych.","Tylko od rodzaju nawierzchni drogi.","A","4B175.jpg","1","T"
"7185","Czy wymijając w nocy inny pojazd, który oświetla drogę przed sobą, powinieneś uwzględnić, że może to ograniczać Twoją zdolność dostrzegania przeszkód na jezdni?","Tak, z powodu możliwość chwilowego oślepienia światłami.","Nie, światła pojazdu z przeciwka zawsze poprawiają widoczność na jezdni.","Nie, nie wpływa to na widoczność na drodze.","A","4B271.jpg","1","T"
"7186","Czy w czasie jazdy w nocy należy zwiększyć uwagę?","Tak, ponieważ widoczność w nocy jest ograniczona.","Nie, ponieważ w nocy ruch na drodze jest mniejszy.","Nie, ponieważ w nocy możesz włączyć światła drogowe.","A","4B272.jpg","1","T"
"7187","Który z wymienionych czynników może mieć wpływ na obserwację drogi przez kierującego ciągnikiem rolniczym?","Zmęczenie, obniżające sprawność wzroku.","Rodzaj nawierzchni, po której się porusza.","Szerokość pasa ruchu.","A","4B273.jpg","1","T"
"7188","Co może zakłócić właściwy sposób obserwacji drogi, gdy w nocy kierujesz ciągnikiem rolniczym?","Brak zdolności rozróżniania kształtów w mroku oraz wrażliwość na oślepienie.","Używanie właściwych okularów do jazdy nocnej.","Właściwa ostrość wzroku kierującego.","A","4B274.jpg","1","T"
"7189","Jaka adnotacja jest wymagana w dowodzie rejestracyjnym, aby ciągnik rolniczy wchodzący w skład kolejki turystycznej mógł być dopuszczony do ruchu?","O ograniczeniu prędkości konstrukcyjnej do 25 km/h.","O wyposażeniu w dodatkowy hamulec hydrauliczny.","O zezwoleniu na przewóz osób w celach turystycznych.","A","4C204.jpg","1","T"
"7191","Który z dokumentów jest wymagany do zarejestrowania ciągnika rolniczego?","Dowód opłacenia składki ubezpieczenia AC pojazdu.","Dowód własności pojazdu.","Oświadczenie właściciela o zapłaconym podatku.","B","4C206.jpg","1","T"
"7192","W jakim terminie należy przeprowadzać okresowe badanie techniczne przyczepy rolniczej podlegającej rejestracji?","Zawsze co 2 lata.","Przed upływem terminu podanego w dowodzie rejestracyjnym.","Tylko w sytuacji zatrzymania przez policjanta dowodu rejestracyjnego.","B","4C212.jpg","1","T"
"7198","Ile razy w tygodniu, dzienny czas prowadzenia pojazdu, kierowcy wykonującego przewóz drogowy, może zostać przedłużony do 10 godzin?","Raz w tygodniu.","Dwa razy w tygodniu.","Trzy razy w tygodniu.","B","5A306.jpg","1","C,C1"
"7199","Do jakiego rodzaju czynności kierowcy zalicza się nadzór nad wyładunkiem?","Przerwa w pracy.","Inna praca.","Okres gotowości.","B","5A334.jpg","1","C,C1"
"7202","Czego możesz się spodziewać podczas gwałtownego hamowania w takich warunkach drogowych?","Zwiększonej przyczepności kół do jezdni.","Zwiększonej siły tarcia.","Zmniejszonej przyczepności kół do jezdni.","C","5B174.jpg","1","C,C1"
"7210","Co stanowi obowiązkowe wyposażenie autobusu, którego dopuszczalna prędkość wynosi 100 km/h?","Opony o głębokości rzeźby bieżnika co najmniej 6 mm.","Apteczka doraźnej pomocy.","Trzypunktowe pasy bezpieczeństwa na wszystkich siedzeniach.","B","6A204.jpg","1","D,D1"
"7211","Jakiej prędkości nie pozwala przekroczyć homologowany ogranicznik prędkości, w który jest wyposażony autobus?","100 km/h.","90 km/h.","85 km/h.","A","6A205.jpg","1","D,D1"
"7213","Do ilu godzin maksymalnie możesz przedłużyć dzienny czas prowadzenia pojazdu wykonując przewóz drogowy?","Do 10 godzin.","Do 11 godzin.","Do 12 godzin.","A","6A307.jpg","1","D,D1"
"7214","Do jakiego rodzaju czynności kierowcy zalicza się sprawdzanie i kompletowanie dokumentów dotyczących przewozu?","Inna praca.","Okres gotowości.","Przerwa w pracy.","A","6A339.jpg","1","D,D1"
"7215","Jak powinieneś kierować autobusem podczas jazdy po łuku drogi?","Płynnie korygować tor jazdy uwzględniając krzywiznę łuku.","Pokonywać łuk z wciśniętym pedałem sprzęgła.","Utrzymywać maksymalne obroty silnika na całej długości łuku.","A","6B309.jpg","1","D,D1"
"7216","Jaki rodzaj oleju silnikowego należy stosować do silników wysokoprężnych wykorzystywanych w autobusach?","Dowolny.","Dobrany w zależności od temperatury silnika.","Określony przez producenta autobusu.","C","6C304.jpg","1","D,D1"
"7217","Jaki olej należy zastosować w celu uzupełnienia stanu oleju, znajdującego się w silniku autobusu?","O znacznie zwiększonej lepkości w stosunku do znajdującego się w silniku.","Takiej samej klasy, jaki znajduje się w silniku.","Dowolnym.","B","6C305.jpg","1","D,D1"
"7225","Czy przyczepa specjalna, przystosowana wyłącznie do ciągnięcia przez ciągnik rolniczy lub pojazd wolnobieżny, wymaga rejestracji?","Tak.","Nie.","Tak, jeśli podlega corocznemu badaniu technicznemu.","B","4C207.jpg","1","T"
"7237","Z jaką prędkością nie możesz poruszać się w strefie zamieszkania?","10 km/h.","15 km/h.","25 km/h.","C","2A118.jpg","1","B,B1"
"7248","Czy kierując pojazdem samochodowym o dopuszczalnej masie całkowitej 2,5 t, na obszarze zabudowanym, na tak oznakowanej drodze, możesz jechać z prędkością 70 km/h?","Tak.","Nie.","Nie, jeżeli jedziesz w godzinach od 5.00 do 23.00.","A","5A106.jpg","1","B"
"7249","Z jaką maksymalną dopuszczalną prędkością możesz jechać, kierując samochodem osobowym o dopuszczalnej masie całkowitej 3 t, na drodze ekspresowej jednojezdniowej?","120 km/h.","100 km/h.","90 km/h.","B","5A109.jpg","1","B"
"7253","Na co nie możesz pozwolić pasażerowi, którego przewozisz motocyklem?","Na rozmowę przez telefon komórkowy.","Na rozmowę z Tobą.","Na jazdę bez kasku ochronnego.","C","3C104.jpg","1","A,A1,A2"
"7441","Która z osób jest zwolniona z obowiązku korzystania z pasów bezpieczeństwa w czasie jazdy samochodem osobowym?","Każdy pasażer na tylnym siedzeniu pojazdu.","Każdy pasażer w trakcie spożywania posiłku.","Kobieta w widocznej ciąży.","C","30005_2.jpg","1","B,B1"
"7445","Której z tych czynności nie masz prawa wykonywać samochodem osobowym?","Ciągnąć przyczepy lekkiej.","Holować innego samochodu osobowego na obszarze zabudowanym.","Ciągnąć dzieci na sankach.","C","","1","B,B1"
"7446","Jaki odstęp od poprzedzającego pojazdu masz obowiązek zachować podczas zatrzymania w zatorze drogowym w tunelu?","Nie mniejszy niż 3 metry.","Nie mniejszy niż 5 metrów.","Nie mniejszy niż 10 metrów.","B","","1","B,B1"
"7447","Która z wymienionych czynności jest zabroniona podczas kierowania pojazdem?","Obsługiwanie radia.","Używanie nawigacji GPS.","Rozmawianie przez telefon, który wymaga trzymania słuchawki lub mikrofonu w ręku.","C","","1","B,B1"
"7451","Jakiej barwy chorągiewką wolno Ci oznaczyć ładunek wystający z tyłu samochodu osobowego?","Zieloną.","Żółtą.","Czerwoną.","C","","1","B"
"7452","Jakiej wielkości nie ma prawa przekroczyć rzeczywista masa całkowita przyczepy ciągniętej przez samochód osobowy?","Masy własnej samochodu.","Rzeczywistej masy całkowitej samochodu.","Rzeczywistej masy całkowitej samochodu pomniejszonej o 40%.","B","","1","B,B1"
"7454","Na której z tych dróg nie masz prawa holować samochodem osobowym innego pojazdu?","Na autostradzie.","Na drodze ekspresowej.","W strefie zamieszkania.","A","","1","B"
"7455","Z jaką maksymalną dopuszczalną prędkością wolno Ci jechać po drodze za tym znakiem, jeśli holujesz inny samochód osobowy?","30 km/h,","50 km/h,","60 km/h.","A","30132_2.jpg","1","B"
"7457","W jakich warunkach drogowych dozwolone jest używanie łańcuchów przeciwślizgowych?","Gdy kierujesz pojazdem w okresie od początku grudnia do końca lutego, niezależnie od tego, czy droga jest pokryta śniegiem.","Gdy temperatura powietrza jest mniejsza niż 0 stopni Celsjusza, niezależnie od tego, czy droga jest pokryta śniegiem.","Gdy droga jest pokryta śniegiem.","C","","1","B,B1"
"7458","Czy leżące na jezdni liście mogą mieć wpływ na długość drogi zatrzymania pojazdu?","Tak, bo mogą skrócić drogę hamowania.","Tak, bo mogą wydłużyć drogę hamowania.","Nie wpływają na długość drogi hamowania.","B","30007.jpg","1","B,B1"
"7461","W jakich warunkach droga hamowania jest najdłuższa?","Na drodze suchej.","Na drodze mokrej.","Na drodze oblodzonej.","C","","1","B,B1"
"7463","Jaką funkcję w pojeździe spełnia system przeciwblokujący ABS?","Zapobiega poślizgowi kół podczas ruszania.","Umożliwia zachowanie kontroli nad pojazdem podczas gwałtownego hamowania.","Zawsze skraca drogę hamowania.","B","","1","B,B1"
"7509","Czy dozwolone jest przewożenie pasażera znajdującego się w stanie nietrzeźwości?","Tak, na tylnym siedzeniu motocykla.","Tak, ale tylko w przyczepie ciągniętej przez motocykl.","Tak, w bocznym wózku.","C","","1","A,A1,A2"
"7510","Zamierzasz holować motocyklem inny motocykl. W jaki sposób oba pojazdy powinny być ze sobą połączone?","Połączeniem giętkim, w sposób wykluczający możliwość odczepienia.","Połączeniem giętkim, w sposób umożliwiający łatwe odczepienie.","Połączeniem sztywnym.","B","","1","A,A1,A2"
"7511","Jakiej wielkości nie ma prawa przekraczać rzeczywista masa całkowita przyczepy ciągniętej przez motocykl?","Masy własnej motocykla, jednak nie może być większa niż 100 kg.","Rzeczywistej masy całkowitej motocykla.","Rzeczywistej masy całkowitej motocykla pomniejszonej o 40%.","A","","1","A,A1,A2"
"7512","Jak masz obowiązek oznakować holowany samochód osobowy?","Włączyć światła awaryjne.","Umieścić z tyłu po lewej stronie ostrzegawczy trójkąt odblaskowy.","Włączyć tylne światło przeciwmgłowe.","B","","1","B,B1"
"7513","Czy jako właściciel pojazdu masz obowiązek wskazać na żądanie uprawnionego organu, komu powierzyłeś pojazd do kierowania lub używania w określonym czasie?","Tak, chyba że jest to pojazd wykorzystywany do prowadzenia działalności gospodarczej.","Tak, chyba że pojazd został użyty wbrew Twojej woli i wiedzy przez nieznaną osobę, czemu nie mogłeś zapobiec.","Nie mam takiego obowiązku.","B","","1","B,B1"
"7515","Czy wolno Ci kierować pojazdem, którego tablica rejestracyjna jest niewidoczna?","Tak, bez żadnych ograniczeń.","Tak, gdy tablica jest przesłonięta przez wystający ładunek.","Nie, jest to zabronione.","C","","1","B,B1"
"7516","Czy wolno Ci nakleić na pojeździe znak określający inne państwo niż to, w którym pojazd został zarejestrowany?","Tak, bez żadnych ograniczeń.","Tak, ale pod warunkiem, że pojazd posiada tablicę rejestracyjną z oznaczeniem „PL”.","Nie, jest to zabronione.","C","","1","B,B1"
"7517","Widoczna niebieska lampka kontrolna informuje Cię o włączeniu świateł:","pozycyjnych.","mijania.","drogowych.","C","30000.jpg","1","B,B1"
"7518","Co należy sprawdzić, gdy lampka kontrolna kierunkowskazów zaczęła migać dużo szybciej?","Napięcie akumulatora.","Sprawność bezpieczników.","Sprawność żarówek kierunkowskazów.","C","","1","B,B1"
"7519","Kiedy należy sprawdzać poziom oleju w silniku?","Przy uruchomionym silniku.","Natychmiast po unieruchomieniu silnika.","Przed uruchomieniem zimnego silnika albo co najmniej po kilku minutach po jego wyłączeniu.","C","","1","B,B1"
"7520","Z jaką dopuszczalną prędkością wolno Ci poruszać się po drodze za widocznym znakiem, jeśli kierujesz samochodem ciężarowym o dopuszczalnej masie całkowitej przekraczającej 3,5 t?","80 km/h.","100 km/h.","120 km/h.","A","30028_2.jpg","1","C,C1"
"7521","Kierujesz samochodem ciężarowym o dopuszczalnej masie całkowitej powyżej 3,5 t poza obszarem zabudowanym. Ile wynosi maksymalna dopuszczalna prędkość jazdy za widocznym znakiem zakazu?","70 km/h.","80 km/h.","90 km/h.","B","30064.jpg","1","C,C1"
"7527","Czy wolno Ci przewozić osoby w przyczepie ciągniętej przez samochód ciężarowy?","Tak, zawsze gdy przyczepą nie przewozi się ładunku.","Tak, jeśli są to osoby wykonujące czynności ładunkowe.","Nie, jest to zabronione, chyba że osoby są przewożone pojazdami niektórych slużb, np. Policji.","C","","1","C,C1"
"7529","Jaki warunek masz obowiązek spełnić, żeby samochodem ciężarowym przewozić osoby poza kabiną kierowcy?","Osoby przewożone są na miejscach stojących.","Osoby przewożone są na miejscach siedzących.","Osoby znajdują się między ładunkiem a kabiną kierowcy.","B","","1","C,C1"
"7531","Na jaką maksymalną długość ma prawo wystawać drewno długie z tyłu przyczepy kłonicowej?","2 m.","5 m.","7 m.","B","","1","C,C1"
"7532","Kiedy masz obowiązek oznaczyć ładunek wystający poza przednią płaszczyznę obrysu samochodu ciężarowego?","Zawsze.","Tylko wtedy, gdy wystaje na odległość większą niż 0,5 m.","Tylko wtedy, gdy wystaje na odległość większą niż 1 m.","A","","1","C,C1"
"7533","Jakiej barwy powinna być chorągiewka, którą zastosujesz do oznaczenia ładunku wystającego z przodu samochodu ciężarowego?","Żółtej.","Pomarańczowej.","Czerwonej.","B","","1","C,C1"
"7534","Która czynność jest zabroniona, gdy samochodem ciężarowym przewozisz osoby poza kabiną kierowcy?","Przewożenie innego pasażera w kabinie.","Rozmowa z pasażerami.","Spożywanie pokarmów.","C","","1","C,C1"
"7535","Do jakiego poziomu powinien ograniczać prędkość zamontowany w autobusie ogranicznik prędkości?","90 km/h.","100 km/h.","120 km/h.","B","","1","D,D1"
"7536","W ile gaśnic powinien być wyposażony autobus o długości przekraczającej 6 metrów?","Jedną.","Dwie.","Trzy.","B","","1","D,D1"
"7537","W ile gaśnic powinien być wyposażony autobus o długości nieprzekraczającej 6 metrów?","Co najmniej jedną.","Dwie.","Trzy.","A","","1","D,D1"
"7538","Czy wolno Ci spożywać posiłek podczas kierowania autobusem?","Nie, jest to zawsze zabronione.","Tak, jeśli w autobusie nie jest przewożona inna osoba.","Tak, zawsze.","B","","1","D,D1"
"7539","Jakiego pojazdu nie wolno Ci holować?","Autobusu z bagażnikiem zewnętrznym.","Autobusu z przyczepą.","Autobusu przegubowego.","B","","1","D,D1"
"7540","Czy wolno Ci holować autobusem samochód ciężarowy z przyczepą?","Tak, ale tylko poza autostradą.","Tak, bez ograniczeń.","Nie.","C","","1","D,D1"
"7541","Do jakiej wartości powinna być ograniczona prędkość konstrukcyjna ciągnika rolniczego wchodzącego w skład kolejki turystycznej?","20 km/h.","25 km/h.","40 km/h.","B","","1","T"
"7542","W jaki sposób wolno Ci przewozić osoby w przyczepie kolejki turystycznej?","Wyłącznie na miejscach stojących.","Na miejscach stojących i siedzących.","Wyłącznie na miejscach siedzących.","C","","1","T"
"7545","Jak powinieneś zachować się, gdy poszkodowany w wypadku odzyska świadomość i chce się oddalić?","Nawiązać rozmowę i próbować przekonać go do pozostania na miejscu do chwili przyjazdu służb medycznych.","Zalecić wizytę u lekarza pierwszego kontaktu i pozwolić na oddalenie się.","Podać leki uspokajające lub przeciwbólowe, a następnie zalecić oczekiwanie na przyjazd służb medycznych.","A","","1","A,AM,A1,A2"
"7546","W jaki sposób należy opatrzyć silnie krwawiącą ranę?","Założyć opatrunek uciskowy z gazy i bandaża.","Odkazić ranę jodyną lub gencjaną.","Osłonić ranę sterylną gazą.","A","","1","A,AM,A1,A2"
"7547","Na czym polega właściwe telefoniczne wezwanie pomocy do wypadku drogowego?","Na poinformowaniu operatora jedynie o miejscu wypadku.","Na upewnieniu się, że operator przyjął całą informację o wypadku.","Na poinformowaniu operatora jedynie o rodzaju zdarzenia oraz liczbie poszkodowanych osób.","B","3D1B65.jpg","1","A,AM,A1,A2"
"7548","Jak długo, przed rozpoczęciem resuscytacji krążeniowo-oddechowej, powinieneś sprawdzać, czy osoba nieprzytomna oddycha?","Przez 5 sekund.","Przez 10 sekund.","Przez 30 sekund.","B","","1","A,AM,A1,A2"
"7550","Gdzie należy uciskać klatkę piersiową prowadząc resuscytację krążeniowo-oddechową?","Wyłącznie w dolnej części klatki piersiowej.","Wyłącznie w górnej części klatki piersiowej.","Na środku klatki piersiowej.","C","3D1B78.jpg","1","A,AM,A1,A2"
"7551","W jakich okolicznościach należy ułożyć poszkodowanego w pozycji bocznej ustalonej?","Gdy jest nieprzytomny i nie oddycha.","Gdy jest nieprzytomny, oddycha i nie odniósł widocznych urazów.","Gdy jest przytomny i wyczerpany fizycznie.","B","3D1B81.jpg","1","A,AM,A1,A2"
"7552","Jak powinieneś postąpić jeśli w trakcie jazdy motocyklem zachodzi potrzeba sprawdzenia poziomu oleju?","Zatrzymać motocykl, wyłączyć silnik, ustawić motocykl na bocznej podpórce i od razu przystąpić do sprawdzenia.","Zatrzymać motocykl, wyłączyć silnik, położyć motocykl na boku i przystąpić do sprawdzenia.","Zatrzymać motocykl, wyłączyć silnik, ustawić motocykl w pozycji pionowej i po kilku minutach przystąpić do sprawdzenia.","C","3C304_gi.jpg","1","A,A1,A2"
"7553","Co może być następstwem zbyt wysokiego ciśnienia w oponach motocykla?","Zmniejszona skuteczność hamowania.","Zwiększona skuteczność hamowania.","Istotne zmniejszenie oporu powietrza.","A","","1","A,A1,A2"
"7554","W jaki sposób, zbyt niskie ciśnienie w oponach wpływa na bezpieczną eksploatację motocykla?","Zwiększa wytrzymałość opony.","Może pogorszyć stateczność pojazdu w ruchu.","Poprawia komfort jazdy.","B","3C315.jpg","1","A,A1,A2"
"7555","Która z wymienionych czynności należy do obsługi codziennej motocykla?","Wykonanie próby hamowania awaryjnego.","Sprawdzenie działania świateł hamowania „stop”.","Sprawdzenie poziomu elektrolitu w akumulatorze.","B","3C319.jpg","1","A,A1,A2"
"7556","Którą z wymienionych czynności powinieneś przede wszystkim wykonać przed dłuższą jazdą motocyklem?","Sprawdzić filtr powietrza.","Sprawdzić ciśnienie w oponach.","Sprawdzić stan świec zapłonowych.","B","3C322.jpg","1","A,A1,A2"
"7558","W jaki sposób niesprawne amortyzatory wpływają na jazdę motorowerem?","Zmniejszają komfort jazdy, bez wpływu na bezpieczeństwo jazdy.","Mogą doprowadzić do wypadku.","Lekko pogarszają stabilność jazdy, bez wpływu na jej bezpieczeństwo.","B","","1","AM"
"7560","Do kierowania którym z wymienionych pojazdów uprawnia Cię prawo jazdy kategorii A?","Motocyklem z bocznym wózkiem.","Czterokołowym pojazdem samochodowym o masie własnej do 550 kg.","Pojazdem wolnobieżnym.","A","","1","A,A1,A2"
"7563","Kiedy masz obowiązek poddać swój motocykl okresowemu badaniu technicznemu w stacji kontroli pojazdów?","Co rok, po przygotowaniu motocykla do sezonu letniego.","Przed upływem terminu wpisanego do dowodu rejestracyjnego.","Co rok, po przeglądzie jesiennym.","B","3C226.jpg","1","A,A1,A2"
"7566","Którą z wymienionych zasad powinieneś stosować podczas tankowania motocykla?","Zbiornik paliwa należy napełniać w około 60 procentach.","Nie rozlewać paliwa na gorące elementy układu wydechowego.","Silnik motocykla powinien być włączony.","B","3C119_gi.jpg","1","A,A1,A2"
"7567","Czy wolno Ci przewozić motocyklem jednośladowym pasażera znajdującego się w stanie po użyciu środków działających podobnie do alkoholu?","Tak, jeśli uważasz, że nie zagrozi to bezpieczeństwu jazdy.","Tak, pod warunkiem, że jedziesz po drodze gruntowej.","Nie.","C","","1","A,A1,A2"
"7568","W jakich warunkach wolno Ci przewozić motocyklem pasażera, który jest w stanie nietrzeźwości?","W każdych warunkach.","Tylko wtedy, gdy jest on przewożony w bocznym wózku.","Tylko wtedy, gdy ograniczysz prędkość jazdy do 30 km/h.","B","","1","A,A1,A2"
"7569","Jak powinieneś zareagować na uślizgi boczne przedniego koła, gdy jedziesz motocyklem po nawierzchni gruntowej?","Dociążyć tylne koło, przesuwając się na siodle do tyłu.","Balansować ciężarem ciała i odpowiednio operować manetką przyspieszenia oraz kierownicą.","Dociążyć przednie koło, przesuwając się na siodle do przodu.","B","3B428.jpg","1","A,A1,A2"
"7570","Której z wymienionych reakcji motoroweru możesz spodziewać się, gdy podczas ruszania gwałtownie zwolnisz dźwignię sprzęgła bez zwiększania obrotów silnika?","Zgaśnięcia silnika.","Poślizgu tylnego koła.","Gwałtownego ruszenia.","A","","1","AM"
"7572","Której z tych reakcji motoroweru możesz się spodziewać, gdy zbyt gwałtownie użyjesz przedniego hamulca?","Tylne koło wpadnie w poślizg.","Pojazd może się przewrócić.","Przednie koło uniesie się do góry.","B","","1","AM"
"7573","Który ze sposobów hamowania jest najskuteczniejszy dla motoroweru na śliskiej nawierzchni?","Tylko przednim hamulcem.","Tylko tylnym hamulcem.","Obydwoma hamulcami jednocześnie.","C","","1","AM"
"7574","Który z wymienionych czynników może ograniczać Twoje pole widzenia drogi, gdy kierujesz motocyklem w ciągu dnia?","Niedopasowany kask.","Źle ustawione światła w motocyklu.","Za ciasny kombinezon.","A","3B304_gi.jpg","1","A,A1,A2"
"7575","Jak zmienia się kąt widzenia motocyklisty wraz ze wzrostem prędkości pojazdu?","Pozostaje bez zmian.","Zmniejsza się.","Zwiększa się.","B","","1","A,A1,A2"
"7577","Który ze sposobów hamowania należy zastosować, jeśli na długim zjeździe zachodzi potrzeba nagłego zmniejszenia prędkości motocykla?","Hamowanie wyłącznie hamulcem tylnego koła.","Hamowanie wyłącznie hamulcem przedniego koła.","Hamowanie silnikiem i jednocześnie hamulcami przedniego i tylnego koła.","C","","1","A,A1,A2"
"7578","Którą technikę jazdy powinieneś zastosować, kierując motocyklem po drodze gruntowej o piaszczystym podłożu?","Podniesienie się na ugiętych nogach opartych na podnóżkach i balansowanie ciałem dla zachowania równowagi.","Mocne osadzenie się na siedzeniu motocykla i zachowanie stałej prędkości.","Zajęcie wyprostowanej pozycji siedzącej i podpieranie się nogami dla zachowania równowagi.","A","","1","A,A1,A2"
"7579","Czego powinieneś się spodziewać wyjeżdżasz motocyklem zza ekranu akustycznego, który kończy się z lewej strony drogi?","Podmuchu wiatru z lewej strony drogi.","Podmuchu wiatru z prawej strony drogi.","Podmuchu wiatru i z lewej, i z prawej strony drogi.","A","3B218.jpg","1","A,A1,A2"
"7581","Kierujesz motocyklem. Jakiego zagrożenia powinieneś się spodziewać podczas wymijania autobusu?","Podmuchu wiatru z tyłu.","Podmuchu wiatru najpierw do środka drogi, a następnie w kierunku jej prawej krawędzi.","Podmuchu wiatru najpierw do prawej krawędzi drogi, a następnie w kierunku jej środka.","C","","1","A,A1,A2"
